=============Your given locations: Chr1-3531624-3831843==================
CGID, chrom, CGIstart, CGIend, PerGC, Length, ObsExp, Annotation Type, GeneSym, Strand, RefSeqIDs
GG_Chr1_CGI 1933, chr1, 3583338, 3583906, 65.5, 568, 0.91, Intragenic, MEGF6, -, NM_001409
GG_Chr1_CGI 1934, chr1, 3595145, 3595554, 64.5, 409, 0.68, Intragenic, MEGF6, -, NM_001409
GG_Chr1_CGI 1935, chr1, 3611055, 3612119, 74.2, 1064, 0.76, Promoter, MEGF6, -, NM_001409, Intragenic, MEGF6, -, NM_001409
GG_Chr1_CGI 1936, chr1, 3624203, 3625677, 73.1, 1474, 0.87, Promoter, TPRG1L, +, NM_182752, Intragenic, TPRG1L, +, NM_182752
GG_Chr1_CGI 1937, chr1, 3640399, 3640637, 71.8, 238, 0.61, Intragenic, WRAP73, -, NM_017818
GG_Chr1_CGI 1938, chr1, 3643388, 3644445, 72.8, 1057, 0.81, Intragenic, WRAP73, -, NM_017818
GG_Chr1_CGI 1939, chr1, 3645293, 3645559, 78.2, 266, 1.17, Intragenic, WRAP73, -, NM_017818
GG_Chr1_CGI 1940, chr1, 3649780, 3653072, 67.5, 3292, 0.86, Promoter, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427, Promoter, WRAP73, -, NM_017818, Intragenic, WRAP73, -, NM_017818
GG_Chr1_CGI 1941, chr1, 3690532, 3690989, 64.6, 457, 0.85, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
GG_Chr1_CGI 1942, chr1, 3706754, 3706957, 70.4, 203, 0.63, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
GG_Chr1_CGI 1943, chr1, 3707593, 3707960, 69.8, 367, 0.64, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
GG_Chr1_CGI 1944, chr1, 3718069, 3718537, 71.6, 468, 0.6, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
GG_Chr1_CGI 1945, chr1, 3732730, 3733110, 70.0, 380, 0.78, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427, Gene-terminal, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
